date,first,second,third,fourth,fiveth,sum
190930333,6,4,1,9,0,20
190930334,2,4,6,0,0,12
190930335,6,7,7,0,3,23
190930336,3,0,9,0,1,13
190930337,0,3,6,2,9,20
190930338,8,5,2,8,2,25
190930339,8,8,7,5,1,29
190930340,5,3,8,6,3,25
190930341,9,3,7,7,8,34
190930342,2,2,2,3,2,11
190930343,9,4,3,6,5,27
190930344,9,4,7,8,9,37
190930345,4,3,5,5,4,21
190930346,5,5,5,3,0,18
190930347,2,9,5,8,5,29
190930348,7,1,6,9,4,27
190930349,5,7,5,5,8,30
190930350,0,1,2,8,3,14
190930351,4,0,7,1,9,21
190930352,9,9,9,8,0,35
190930353,8,0,4,5,3,20
190930354,7,7,2,8,7,31
190930355,9,5,6,9,9,38
190930356,7,2,4,8,6,27
190930357,6,8,1,1,5,21
190930358,2,3,8,8,6,27
190930359,4,3,6,1,3,17
190930360,6,6,8,7,6,33
190930361,8,3,5,8,0,24
190930362,2,4,7,3,5,21
190930363,7,6,1,9,3,26
190930364,9,1,9,6,5,30
190930365,3,7,8,6,0,24
190930366,1,5,2,1,7,16
190930367,2,2,6,3,9,22
190930368,4,3,4,8,4,23
190930369,7,7,5,9,3,31
190930370,8,3,9,8,5,33
190930371,2,4,9,0,0,15
190930372,6,7,3,9,7,32
190930373,3,9,5,8,0,25
190930374,9,3,6,7,7,32
190930375,2,3,9,6,2,22
190930376,1,9,5,2,9,26
190930377,0,4,2,6,3,15
190930378,6,4,3,3,0,16
190930379,6,8,9,1,1,25
190930380,2,5,5,8,2,22
190930381,1,2,2,7,9,21
190930382,5,3,4,3,8,23
190930383,8,6,0,4,3,21
190930384,8,0,3,4,9,24
190930385,8,0,5,5,0,18
190930386,4,8,1,8,8,29
190930387,1,9,7,7,4,28
190930388,7,8,2,3,9,29
190930389,1,0,8,8,2,19
190930390,9,9,0,0,0,18
190930391,4,5,4,8,2,23
190930392,6,6,0,6,6,24
190930393,7,9,9,5,6,36
190930394,3,1,6,1,3,14
190930395,8,5,5,5,7,30
190930396,4,8,8,1,0,21
190930397,0,1,3,1,8,13
190930398,2,6,1,5,4,18
190930399,0,5,6,0,1,12
190930400,6,1,3,8,5,23
190930401,5,0,6,2,6,19
190930402,1,1,1,4,6,13
190930403,4,5,0,5,9,23
190930404,5,2,1,5,3,16
190930405,2,8,1,6,9,26
190930406,4,1,7,7,5,24
190930407,5,8,3,1,7,24
190930408,7,4,7,3,7,28
190930409,6,5,1,9,0,21
190930410,8,0,8,1,1,18
190930411,0,1,0,3,5,9
190930412,5,3,5,6,8,27
190930413,7,2,5,9,7,30
190930414,5,5,0,8,9,27
190930415,2,8,3,2,9,24
190930416,5,1,0,3,4,13
190930417,1,9,0,4,9,23
190930418,0,6,9,4,2,21
190930419,1,3,7,4,4,19
190930420,6,7,7,3,1,24
190930421,7,1,6,3,4,21
190930422,1,5,7,4,2,19
190930423,7,1,7,2,3,20
190930424,4,3,5,5,0,17
190930425,1,0,7,2,3,13
190930426,9,3,1,6,3,22
190930427,0,9,2,2,4,17
190930428,9,3,7,5,7,31
190930429,4,1,3,6,6,20
190930430,2,2,6,8,4,22
190930431,7,9,8,0,7,31
190930432,2,1,4,9,1,17
190930433,8,2,2,8,6,26
190930434,0,0,3,4,0,7
190930435,9,0,9,9,2,29
190930436,1,1,8,5,4,19
190930437,8,2,0,4,1,15
190930438,5,0,3,9,9,26
190930439,1,8,2,4,2,17
190930440,5,5,2,2,1,15
190930441,8,0,1,3,3,15
190930442,9,3,3,3,2,20
190930443,5,7,1,3,5,21
190930444,0,6,9,2,6,23
190930445,7,4,4,4,6,25
190930446,0,2,9,2,2,15
190930447,6,9,1,2,9,27
190930448,4,7,2,4,8,25
190930449,1,0,9,9,9,28
190930450,1,3,8,4,2,18
190930451,6,3,0,2,1,12
190930452,0,0,4,4,7,15
190930453,0,1,3,5,7,16
190930454,2,7,4,6,1,20
190930455,1,5,0,1,9,16
190930456,6,4,7,7,4,28
190930457,3,9,8,9,4,33
190930458,7,9,1,2,0,19
190930459,4,3,6,5,1,19
190930460,3,1,9,0,5,18
190930461,5,0,9,6,8,28
190930462,9,1,6,1,3,20
190930463,7,9,3,1,8,28
190930464,8,2,9,0,5,24
190930465,3,8,0,5,0,16
190930466,2,7,2,2,8,21
190930467,9,5,8,7,3,32
190930468,8,5,3,3,2,21
190930469,5,9,2,3,3,22
190930470,7,1,3,5,5,21
190930471,4,0,4,4,7,19
190930472,1,1,4,5,9,20
190930473,3,5,1,5,8,22
190930474,5,7,1,7,8,28
190930475,7,9,4,9,7,36
190930476,6,5,1,0,5,17
190930477,9,3,3,3,7,25
190930478,2,5,1,6,0,14
190930479,1,5,5,4,3,18
190930480,1,3,8,1,8,21
190930481,5,3,3,6,9,26
190930482,1,0,1,2,6,10
190930483,3,0,9,2,1,15
190930484,8,0,1,1,3,13
190930485,2,4,1,3,2,12
190930486,5,9,7,2,0,23
190930487,0,6,4,3,1,14
190930488,8,5,9,9,9,40
190930489,7,2,7,0,2,18
190930490,2,3,8,6,0,19
190930491,0,1,2,6,9,18
190930492,3,9,7,2,1,22
190930493,6,3,5,7,8,29
190930494,2,9,6,6,3,26
190930495,5,0,5,9,7,26
190930496,5,2,6,3,3,19
190930497,3,6,4,2,9,24
190930498,7,8,9,7,2,33
190930499,0,6,5,5,5,21
190930500,4,5,4,5,4,22
190930501,3,1,4,3,4,15
190930502,5,2,8,1,7,23
190930503,2,2,4,0,5,13
190930504,7,4,0,6,5,22
190930505,5,3,0,0,1,9
190930506,8,7,5,3,0,23
190930507,1,0,9,3,9,22
190930508,1,6,0,5,5,17
190930509,1,0,3,8,8,20
190930510,3,7,2,7,6,25
190930511,4,1,4,9,2,20
190930512,4,2,7,6,0,19
190930513,8,2,4,1,9,24
190930514,7,6,9,7,0,29
190930515,1,1,2,2,3,9
190930516,5,8,8,8,9,38
190930517,6,2,8,1,1,18
190930518,3,9,7,1,4,24
190930519,9,9,4,3,7,32
190930520,0,6,9,2,9,26
190930521,1,3,9,2,6,21
190930522,6,6,6,5,8,31
190930523,1,3,1,2,0,7
190930524,3,1,1,9,2,16
190930525,5,0,5,0,9,19
190930526,4,0,0,2,0,6
190930527,3,6,3,3,2,17
190930528,7,3,2,9,0,21
190930529,6,0,9,1,3,19
190930530,9,2,7,7,3,28
190930531,4,7,6,6,8,31
190930532,3,5,5,5,3,21
190930533,9,1,7,0,9,26
190930534,8,9,2,2,0,21
190930535,0,1,4,9,8,22
190930536,4,7,7,0,9,27
190930537,7,0,6,3,7,23
190930538,0,9,0,7,6,22
190930539,6,3,4,3,7,23
190930540,6,6,1,0,8,21
190930541,3,5,7,5,7,27
190930542,3,1,2,7,8,21
190930543,0,2,2,7,1,12
190930544,5,4,0,8,9,26
190930545,0,7,8,1,4,20
190930546,5,7,8,7,7,34
190930547,9,4,0,9,6,28
190930548,8,6,9,2,6,31
190930549,0,8,3,7,1,19
190930550,6,8,7,5,9,35
190930551,2,3,4,8,2,19
190930552,2,1,8,0,0,11
190930553,6,9,6,2,3,26
190930554,7,4,3,4,7,25
190930555,1,5,4,3,5,18
190930556,7,2,9,8,1,27
190930557,7,4,6,4,4,25
190930558,0,4,4,2,2,12
190930559,8,1,2,8,2,21
190930560,2,1,1,9,3,16
190930561,2,3,3,0,7,15
190930562,4,0,4,7,5,20
190930563,5,0,0,8,2,15
190930564,9,6,9,3,7,34
190930565,3,2,2,2,5,14
190930566,2,8,3,9,1,23
190930567,0,0,4,5,1,10
190930568,2,0,3,4,6,15
190930569,2,8,4,1,1,16
190930570,0,8,5,6,3,22
190930571,4,7,7,9,3,30
190930572,8,2,4,0,9,23
190930573,6,7,8,8,2,31
190930574,3,9,2,2,3,19
190930575,6,7,0,0,6,19
190930576,4,0,8,9,0,21
190930577,3,1,2,1,4,11
190930578,4,3,1,9,6,23
190930579,7,1,5,3,2,18
190930580,7,5,9,9,7,37
190930581,1,5,4,7,4,21
190930582,5,0,2,0,6,13
190930583,7,1,6,4,6,24
190930584,8,2,4,8,6,28
190930585,7,6,5,2,6,26
190930586,3,6,2,4,7,22
190930587,5,6,9,0,1,21
190930588,4,9,6,3,2,24
190930589,7,8,3,8,1,27
190930590,5,5,5,5,2,22
190930591,8,7,0,3,5,23
190930592,4,5,9,1,7,26
190930593,8,2,7,3,4,24
190930594,6,3,1,0,7,17
190930595,7,1,3,0,1,12
190930596,1,3,9,3,0,16
190930597,8,7,5,7,5,32
190930598,9,0,1,2,6,18
190930599,0,3,1,8,2,14
190930600,8,6,8,1,0,23
190930601,5,5,6,1,2,19
190930602,4,2,7,6,3,22
190930603,4,9,7,9,4,33
190930604,0,0,8,8,4,20
190930605,7,0,8,5,5,25
190930606,5,3,1,3,5,17
190930607,0,3,3,1,5,12
190930608,7,9,5,4,4,29
190930609,5,4,8,9,0,26
190930610,9,4,4,3,8,28
190930611,0,5,0,7,4,16
190930612,1,7,1,6,5,20
190930613,1,5,0,5,2,13
190930614,5,3,8,8,1,25
190930615,7,4,2,9,0,22
190930616,9,9,5,2,0,25
190930617,8,0,8,1,4,21
190930618,1,4,3,4,0,12
190930619,5,0,8,6,3,22
190930620,8,3,7,2,0,20
190930621,2,8,7,7,7,31
190930622,4,1,5,4,2,16
190930623,1,9,8,3,9,30
190930624,2,3,1,8,6,20
190930625,7,5,4,3,1,20
190930626,5,2,9,3,8,27
190930627,9,1,1,9,0,20
190930628,8,2,5,7,7,29
190930629,4,2,5,2,3,16
190930630,7,7,2,3,1,20
190930631,3,5,4,9,8,29
190930632,3,0,5,0,8,16
190930633,5,5,4,9,3,26
190930634,0,8,5,9,8,30
190930635,2,8,9,0,2,21
190930636,6,5,2,0,9,22
190930637,4,9,9,0,4,26
190930638,3,7,5,4,5,24
190930639,0,1,1,6,7,15
190930640,0,4,4,8,6,22
190930641,1,8,6,9,8,32
190930642,3,3,0,0,0,6
190930643,3,8,7,6,1,25
190930644,8,7,5,1,9,30
190930645,7,3,3,8,9,30
190930646,4,8,1,0,1,14
190930647,1,4,8,4,6,23
190930648,0,2,3,2,5,12
190930649,3,1,8,3,0,15
190930650,6,1,3,1,2,13
190930651,3,5,6,2,0,16
190930652,4,9,3,6,9,31
190930653,0,6,4,1,9,20
190930654,4,7,3,1,3,18
190930655,1,9,8,0,1,19
190930656,9,8,4,3,5,29
190930657,5,9,5,8,3,30
190930658,7,7,7,1,4,26
190930659,5,5,8,7,3,28
190930660,1,4,3,3,3,14
190930661,2,5,3,5,4,19
190930662,0,0,1,8,8,17
190930663,3,5,8,8,3,27
190930664,2,7,6,6,1,22
190930665,4,2,7,3,9,25
190930666,3,7,6,9,4,29
190930667,7,7,5,7,6,32
190930668,8,4,6,3,1,22
190930669,8,3,0,2,7,20
190930670,3,8,2,0,9,22
190930671,4,8,8,0,4,24
190930672,4,3,6,3,2,18
190930673,9,8,3,3,1,24
190930674,5,4,0,1,9,19
190930675,1,4,8,5,4,22
190930676,6,8,4,8,4,30
190930677,0,8,6,7,0,21
190930678,2,2,5,0,4,13
190930679,8,2,3,3,1,17
190930680,7,0,5,2,5,19
190930681,8,7,8,8,6,37
190930682,6,9,2,8,6,31
190930683,4,7,0,6,0,17
190930684,4,1,2,6,6,19
190930685,4,6,5,3,2,20
190930686,8,7,6,8,9,38
190930687,9,1,9,6,7,32
190930688,5,8,8,7,9,37
190930689,8,8,9,4,7,36
190930690,5,2,0,6,5,18
190930691,6,6,3,7,8,30
190930692,0,2,6,0,0,8
190930693,2,6,0,2,1,11
190930694,9,7,5,8,1,30
190930695,7,1,4,9,4,25
190930696,0,1,3,3,1,8
190930697,1,7,9,1,3,21
190930698,9,3,1,0,9,22
190930699,2,0,7,3,4,16
190930700,2,1,9,7,5,24
190930701,6,2,5,0,9,22
190930702,6,6,0,2,6,20
190930703,3,8,7,6,5,29
190930704,1,0,2,1,2,6
190930705,8,4,6,9,8,35
190930706,2,7,7,4,4,24
190930707,2,5,6,3,2,18
190930708,5,8,2,4,3,22
190930709,5,3,6,2,0,16
190930710,0,5,0,7,0,12
190930711,3,1,2,5,2,13
190930712,1,0,0,1,1,3
190930713,9,1,9,6,1,26
190930714,8,4,0,8,2,22
190930715,4,6,3,6,2,21
190930716,3,0,4,1,8,16
190930717,8,0,2,7,2,19
190930718,8,2,8,3,4,25
190930719,9,6,6,1,4,26
190930720,0,1,1,6,2,10
190930721,3,6,4,5,2,20
190930722,4,1,9,4,3,21
190930723,7,5,3,9,1,25
190930724,4,9,2,2,9,26
190930725,6,0,0,3,6,15
190930726,7,7,0,4,3,21
190930727,0,9,2,7,3,21
190930728,7,2,4,6,9,28
190930729,6,4,1,0,7,18
190930730,3,3,7,7,7,27
190930731,5,0,4,5,0,14
190930732,8,4,4,0,6,22
190930733,1,9,8,7,6,31
190930734,7,3,2,9,4,25
190930735,5,9,4,0,8,26
190930736,2,3,6,0,9,20
190930737,4,2,5,6,0,17
190930738,0,3,8,1,0,12
190930739,3,7,5,5,3,23
190930740,4,1,0,0,3,8
190930741,1,3,3,8,4,19
190930742,2,4,5,8,2,21
190930743,7,7,1,7,8,30
190930744,4,4,6,1,8,23
190930745,7,4,7,5,8,31
190930746,9,5,1,6,6,27
190930747,2,3,1,1,3,10
190930748,9,2,0,8,7,26
190930749,6,8,8,9,9,40
190930750,2,1,9,7,7,26
190930751,7,0,6,9,0,22
190930752,7,7,2,6,3,25
190930753,7,8,6,9,3,33
190930754,1,0,8,6,3,18
190930755,1,3,2,2,7,15
190930756,3,3,7,0,1,14
190930757,6,2,1,6,4,19
190930758,8,1,0,9,6,24
190930759,5,9,3,8,2,27
190930760,1,3,7,0,7,18
190930761,5,4,6,2,8,25
190930762,1,4,7,2,9,23
190930763,6,7,5,5,4,27
190930764,3,7,9,8,8,35
190930765,7,0,1,5,1,14
190930766,8,8,6,1,3,26
190930767,0,9,4,0,6,19
190930768,1,7,3,7,0,18
190930769,7,9,6,8,3,33
190930770,8,4,5,1,4,22
190930771,4,5,4,3,7,23
190930772,5,0,8,6,6,25
190930773,5,7,8,1,5,26
190930774,2,8,3,3,6,22
190930775,4,9,1,0,4,18
190930776,6,7,6,0,0,19
190930777,2,1,9,5,6,23
190930778,7,5,8,8,7,35
190930779,4,5,5,2,9,25
190930780,0,4,6,5,1,16
190930781,3,1,3,3,7,17
190930782,8,6,7,8,6,35
190930783,1,8,8,7,8,32
190930784,8,5,0,2,1,16
190930785,9,9,7,3,6,34
190930786,7,6,6,9,2,30
190930787,5,9,0,7,1,22
190930788,8,6,1,0,3,18
190930789,0,1,9,6,4,20
190930790,6,0,7,1,9,23
190930791,9,0,2,6,4,21
190930792,2,1,6,1,6,16
190930793,1,4,6,9,7,27
190930794,1,1,2,8,7,19
190930795,0,0,6,3,8,17
190930796,3,6,3,8,7,27
190930797,0,6,9,5,4,24
190930798,1,7,8,4,9,29
190930799,1,7,5,3,3,19
190930800,9,3,7,5,5,29
190930801,4,6,8,8,0,26
190930802,5,0,5,1,9,20
190930803,4,6,4,0,1,15
190930804,3,6,7,0,8,24
190930805,9,1,9,5,8,32
190930806,7,2,0,2,5,16
190930807,7,4,4,0,9,24
190930808,6,3,9,2,3,23
190930809,1,0,0,6,1,8
190930810,4,8,6,4,3,25
190930811,1,1,8,4,1,15
190930812,9,7,5,1,0,22
190930813,5,0,3,9,8,25
190930814,3,1,8,1,6,19
190930815,3,4,3,8,1,19
190930816,0,4,9,0,8,21
190930817,3,7,0,4,8,22
190930818,6,1,3,0,8,18
190930819,2,4,3,9,8,26
190930820,0,7,4,3,8,22
190930821,5,3,6,1,9,24
190930822,1,9,5,7,1,23
190930823,3,9,1,5,5,23
190930824,1,7,0,4,7,19
190930825,4,3,5,5,6,23
190930826,4,5,3,8,7,27
190930827,8,3,2,1,6,20
190930828,3,1,1,2,9,16
190930829,1,1,2,0,1,5
190930830,0,0,0,5,1,6
190930831,8,7,5,2,5,27
190930832,0,8,6,9,3,26
190930833,0,1,8,6,6,21
190930834,6,9,6,8,4,33
190930835,7,8,0,9,8,32
190930836,4,0,9,8,4,25
190930837,3,2,7,3,5,20
190930838,6,7,1,7,7,28
190930839,1,9,1,4,8,23
190930840,4,6,4,0,0,14
190930841,3,0,4,9,5,21
190930842,9,5,6,4,4,28
190930843,2,4,1,9,1,17
190930844,8,8,7,0,7,30
190930845,2,6,8,8,5,29
190930846,8,1,5,0,7,21
190930847,3,6,7,6,1,23
190930848,7,3,4,2,3,19
190930849,1,1,3,5,0,10
190930850,7,3,9,2,7,28
190930851,9,5,4,3,0,21
190930852,4,5,8,8,8,33
190930853,8,0,1,2,9,20
190930854,0,1,2,3,4,10
190930855,6,8,3,8,2,27
190930856,6,6,3,9,2,26
190930857,6,3,6,9,9,33
190930858,9,0,3,2,0,14
190930859,3,1,9,6,9,28
190930860,8,3,3,7,5,26
190930861,3,0,0,0,3,6
190930862,2,6,4,6,0,18
190930863,7,8,9,8,1,33
190930864,7,6,3,7,4,27
190930865,2,8,8,1,6,25
190930866,8,5,4,9,2,28
190930867,3,6,4,3,8,24
190930868,2,9,8,2,9,30
190930869,4,9,4,1,3,21
190930870,6,4,7,1,1,19
190930871,0,5,7,6,9,27
190930872,9,0,0,4,4,17
