date,first,second,third,fourth,fiveth,sum
191127245,8,1,1,5,3,18
191127246,6,9,7,5,7,34
191127247,1,9,1,7,8,26
191127248,3,2,3,4,5,17
191127249,0,7,8,5,2,22
191127250,2,0,9,4,7,22
191127251,3,1,4,3,7,18
191127252,0,8,3,4,2,17
191127253,1,2,2,0,9,14
191127254,1,0,1,3,9,14
191127255,3,7,6,0,5,21
191127256,6,7,7,4,0,24
191127257,7,5,2,4,7,25
191127258,3,5,5,9,9,31
191127259,2,5,9,8,4,28
191127260,6,7,5,6,1,25
191127261,1,8,4,9,1,23
191127262,3,5,9,5,6,28
191127263,4,8,9,1,0,22
191127264,6,8,2,8,6,30
191127265,8,4,5,0,7,24
191127266,9,6,8,7,2,32
191127267,9,8,7,8,1,33
191127268,3,9,3,0,5,20
191127269,9,8,4,8,5,34
191127270,0,3,5,6,9,23
191127271,7,1,9,1,9,27
191127272,7,9,7,3,5,31
191127273,1,2,0,8,9,20
191127274,6,3,1,1,4,15
191127275,9,9,6,4,3,31
191127276,4,0,3,4,1,12
191127277,5,4,7,4,6,26
191127278,5,7,4,7,1,24
191127279,1,2,4,3,4,14
191127280,5,5,2,1,8,21
191127281,9,0,6,7,7,29
191127282,4,2,6,4,5,21
191127283,2,3,0,7,5,17
191127284,5,3,7,9,8,32
191127285,2,2,5,4,8,21
191127286,5,6,8,4,4,27
191127287,9,3,3,3,5,23
191127288,2,5,4,0,7,18
191127289,1,6,5,3,7,22
191127290,2,9,9,8,8,36
191127291,4,3,9,0,1,17
191127292,5,4,6,2,8,25
191127293,2,3,4,9,8,26
191127294,9,1,3,1,9,23
191127295,0,9,2,7,7,25
191127296,1,8,2,7,3,21
191127297,1,2,8,4,1,16
191127298,2,5,0,0,2,9
191127299,0,2,1,8,8,19
191127300,4,0,7,9,9,29
191127301,4,3,6,7,5,25
191127302,6,6,6,5,5,28
191127303,8,6,2,4,9,29
191127304,1,7,2,8,0,18
191127305,9,1,6,8,8,32
191127306,4,7,9,8,2,30
191127307,5,3,3,0,5,16
191127308,8,5,8,2,9,32
191127309,6,7,2,6,2,23
191127310,2,0,8,8,3,21
191127311,3,0,5,3,7,18
191127312,3,6,6,7,3,25
191127313,6,8,0,6,1,21
191127314,0,8,0,1,8,17
191127315,9,3,9,4,6,31
191127316,9,7,6,9,8,39
191127317,2,2,6,8,0,18
191127318,7,0,3,4,3,17
191127319,1,6,6,1,9,23
191127320,7,4,9,4,3,27
191127321,6,3,5,3,6,23
191127322,8,5,0,0,4,17
191127323,4,4,8,8,8,32
191127324,7,4,4,8,3,26
191127325,0,2,1,1,8,12
191127326,2,1,0,2,7,12
191127327,0,7,3,1,0,11
191127328,5,3,8,6,1,23
191127329,7,0,1,2,6,16
191127330,8,9,5,0,9,31
191127331,2,9,2,3,6,22
191127332,0,7,8,3,4,22
191127333,6,3,1,3,2,15
191127334,9,8,2,9,3,31
191127335,1,2,1,6,5,15
191127336,5,6,6,8,4,29
191127337,1,5,0,9,1,16
191127338,0,7,4,6,0,17
191127339,5,0,4,7,3,19
191127340,7,8,3,5,8,31
191127341,0,9,1,4,3,17
191127342,5,0,4,4,0,13
191127343,5,1,6,2,4,18
191127344,3,5,7,9,8,32
191127345,6,4,9,3,9,31
191127346,1,8,8,6,5,28
191127347,1,9,2,5,1,18
191127348,9,6,5,8,0,28
191127349,4,8,4,4,2,22
191127350,5,5,1,8,2,21
191127351,4,0,6,7,5,22
191127352,6,3,1,5,4,19
191127353,1,0,5,8,9,23
191127354,1,9,2,3,6,21
191127355,9,4,1,3,8,25
191127356,2,6,4,1,5,18
191127357,1,9,4,4,8,26
191127358,9,6,4,8,9,36
191127359,6,9,3,5,8,31
191127360,5,9,6,4,0,24
191127361,0,7,9,5,0,21
191127362,6,2,2,6,3,19
191127363,9,2,2,8,0,21
191127364,9,4,5,4,0,22
191127365,9,4,2,6,8,29
191127366,0,6,8,8,7,29
191127367,9,1,6,6,5,27
191127368,0,2,2,0,5,9
191127369,2,9,1,3,6,21
191127370,2,7,9,9,1,28
191127371,0,4,6,2,5,17
191127372,7,2,6,1,5,21
191127373,6,6,7,0,0,19
191127374,1,2,2,5,6,16
191127375,6,6,6,8,1,27
191127376,1,3,5,8,5,22
191127377,4,0,9,6,5,24
191127378,8,5,1,6,9,29
191127379,1,8,3,9,9,30
191127380,2,7,5,2,3,19
191127381,4,7,0,7,0,18
191127382,7,1,0,3,6,17
191127383,1,9,6,8,7,31
191127384,9,1,1,5,3,19
191127385,2,6,4,0,5,17
191127386,9,3,9,9,9,39
191127387,5,8,4,7,3,27
191127388,3,4,9,0,4,20
191127389,7,2,4,2,5,20
191127390,6,4,0,7,3,20
191127391,5,8,8,3,1,25
191127392,8,5,3,0,4,20
191127393,7,0,2,0,1,10
191127394,1,5,2,5,7,20
191127395,5,0,6,9,0,20
191127396,4,0,4,8,1,17
191127397,5,1,3,4,0,13
191127398,5,9,5,7,0,26
191127399,7,8,4,6,7,32
191127400,6,7,1,3,2,19
191127401,2,1,6,8,8,25
191127402,7,0,1,1,9,18
191127403,3,3,8,5,4,23
191127404,7,9,5,1,5,27
191127405,4,5,7,1,6,23
191127406,2,4,2,7,8,23
191127407,8,2,5,3,4,22
191127408,6,2,9,9,4,30
191127409,9,8,1,4,3,25
191127410,6,9,2,8,0,25
191127411,7,6,3,0,2,18
191127412,3,4,1,7,5,20
191127413,9,2,6,7,1,25
191127414,1,1,9,3,5,19
191127415,3,4,7,6,7,27
191127416,6,4,3,1,6,20
191127417,2,2,8,1,0,13
191127418,0,1,9,9,8,27
191127419,1,4,6,6,7,24
191127420,4,9,4,1,4,22
191127421,4,7,9,7,9,36
191127422,8,6,2,6,9,31
191127423,5,8,2,6,4,25
191127424,1,9,3,2,4,19
191127425,6,9,3,6,8,32
191127426,9,4,4,9,4,30
191127427,4,1,8,9,6,28
191127428,2,0,1,0,2,5
191127429,4,9,9,4,4,30
191127430,3,4,7,8,4,26
191127431,2,3,9,3,4,21
191127432,9,3,6,7,1,26
191127433,8,3,4,7,6,28
191127434,7,3,8,2,0,20
191127435,2,0,9,6,7,24
191127436,6,4,4,6,9,29
191127437,9,9,8,0,4,30
191127438,5,2,8,5,6,26
191127439,3,3,4,0,3,13
191127440,4,6,4,2,4,20
191127441,5,1,1,2,9,18
191127442,0,5,5,4,6,20
191127443,5,5,3,8,0,21
191127444,9,1,2,7,0,19
191127445,1,9,6,5,4,25
191127446,9,7,2,8,5,31
191127447,8,9,6,3,8,34
191127448,2,3,7,5,0,17
191127449,8,3,9,3,9,32
191127450,1,3,7,8,3,22
191127451,1,5,3,2,0,11
191127452,2,2,0,4,9,17
191127453,0,7,2,4,5,18
191127454,6,0,2,5,0,13
191127455,7,6,0,6,8,27
191127456,1,0,8,4,3,16
191127457,8,3,4,4,2,21
191127458,1,4,1,3,1,10
191127459,6,5,8,6,2,27
191127460,5,9,1,2,7,24
191127461,5,2,9,1,9,26
191127462,8,3,1,3,8,23
191127463,7,4,6,8,5,30
191127464,6,5,4,6,8,29
191127465,7,2,5,5,8,27
191127466,3,3,4,4,4,18
191127467,5,0,3,7,4,19
191127468,2,1,1,0,9,13
191127469,8,0,1,0,5,14
191127470,8,2,5,9,8,32
191127471,5,2,6,1,1,15
191127472,0,0,8,9,9,26
191127473,0,2,8,2,4,16
191127474,1,1,1,7,1,11
191127475,1,7,7,8,5,28
191127476,2,3,8,3,0,16
191127477,5,8,1,2,1,17
191127478,0,4,2,2,4,12
191127479,4,6,6,6,4,26
191127480,0,1,7,2,5,15
191127481,7,6,9,9,3,34
191127482,7,1,2,2,8,20
191127483,1,5,1,5,5,17
191127484,8,3,8,3,5,27
191127485,4,7,8,0,7,26
191127486,9,8,7,0,9,33
191127487,0,0,1,9,3,13
191127488,8,5,4,3,1,21
191127489,6,8,8,0,8,30
191127490,0,4,9,3,2,18
191127491,4,7,5,9,5,30
191127492,0,8,0,8,5,21
191127493,9,4,5,0,0,18
191127494,3,7,2,5,4,21
191127495,6,6,2,4,4,22
191127496,5,5,3,2,7,22
191127497,9,0,8,7,4,28
191127498,6,5,5,5,5,26
191127499,0,0,2,8,9,19
191127500,6,7,6,8,1,28
191127501,0,9,4,6,0,19
191127502,4,5,2,5,9,25
191127503,2,5,3,9,3,22
191127504,4,2,9,7,9,31
191127505,1,8,0,9,6,24
191127506,0,7,9,3,8,27
191127507,1,3,0,5,4,13
191127508,9,9,9,5,0,32
191127509,3,4,5,7,8,27
191127510,1,9,5,1,2,18
191127511,8,0,9,0,7,24
191127512,9,6,6,9,5,35
191127513,3,5,7,5,4,24
191127514,3,6,9,5,7,30
191127515,1,6,8,9,7,31
191127516,0,1,6,8,3,18
191127517,0,5,6,4,0,15
191127518,9,9,3,6,2,29
191127519,8,7,3,4,3,25
191127520,4,2,0,6,8,20
191127521,2,2,2,5,9,20
191127522,6,9,9,3,4,31
191127523,9,3,9,2,1,24
191127524,7,7,0,9,2,25
191127525,2,8,4,2,5,21
191127526,9,5,7,4,7,32
191127527,5,2,2,4,3,16
191127528,6,7,3,6,0,22
191127529,3,8,4,5,8,28
191127530,8,7,0,1,4,20
191127531,3,2,3,0,3,11
191127532,4,5,6,0,0,15
191127533,3,9,7,5,7,31
191127534,4,6,8,5,7,30
191127535,6,6,6,3,8,29
191127536,5,3,3,4,8,23
191127537,9,1,4,1,3,18
191127538,9,2,3,8,1,23
191127539,4,5,4,1,8,22
191127540,4,1,0,1,3,9
191127541,1,3,8,3,0,15
191127542,3,9,6,6,2,26
191127543,6,2,8,0,2,18
191127544,4,0,2,7,5,18
191127545,8,8,5,3,7,31
191127546,6,3,1,0,1,11
191127547,6,3,9,4,0,22
191127548,4,4,9,2,8,27
191127549,4,2,5,0,1,12
191127550,0,4,3,9,7,23
191127551,1,0,2,6,1,10
191127552,0,1,8,4,9,22
191127553,8,9,9,0,3,29
191127554,9,4,1,1,9,24
191127555,1,5,0,2,7,15
191127556,0,0,2,6,8,16
191127557,5,1,2,2,4,14
191127558,6,9,5,3,8,31
191127559,5,2,9,7,7,30
191127560,0,1,1,9,8,19
191127561,5,3,9,5,6,28
191127562,0,9,0,5,0,14
191127563,9,5,7,6,3,30
191127564,8,3,6,4,4,25
191127565,2,7,0,5,5,19
191127566,8,7,7,8,2,32
191127567,2,8,3,9,3,25
191127568,7,6,3,8,7,31
191127569,5,8,9,8,1,31
191127570,1,0,3,3,7,14
191127571,1,9,1,9,2,22
191127572,3,6,9,0,1,19
191127573,6,9,3,8,8,34
191127574,1,2,2,2,8,15
191127575,6,9,8,7,6,36
191127576,9,5,5,7,7,33
191127577,9,5,2,9,0,25
191127578,7,0,0,8,2,17
191127579,4,4,9,7,7,31
191127580,1,9,3,0,4,17
191127581,2,9,9,6,3,29
191127582,9,4,5,9,1,28
191127583,7,6,1,6,1,21
191127584,5,5,8,5,4,27
191127585,3,6,2,9,3,23
191127586,1,8,4,7,5,25
191127587,5,6,0,9,3,23
191127588,4,4,2,4,7,21
191127589,2,0,5,0,1,8
191127590,3,5,1,4,4,17
191127591,0,8,6,0,8,22
191127592,9,8,6,6,0,29
191127593,7,1,4,3,7,22
191127594,0,2,1,7,9,19
191127595,0,5,3,2,5,15
191127596,5,7,5,7,5,29
191127597,2,1,8,1,0,12
191127598,2,4,1,5,4,16
191127599,3,5,7,8,7,30
191127600,5,3,7,9,6,30
191127601,4,8,4,2,5,23
191127602,6,1,1,6,5,19
191127603,9,3,6,3,8,29
191127604,9,5,1,5,4,24
191127605,5,6,9,5,6,31
191127606,3,2,8,0,0,13
191127607,8,2,1,0,9,20
191127608,9,3,1,6,2,21
191127609,8,8,8,9,1,34
191127610,0,9,3,4,9,25
191127611,5,9,2,2,9,27
191127612,5,3,9,5,4,26
191127613,8,3,2,9,9,31
191127614,2,4,1,2,6,15
191127615,4,5,5,2,9,25
191127616,2,9,1,3,1,16
191127617,3,5,0,2,5,15
191127618,4,7,0,0,6,17
191127619,5,5,3,2,8,23
191127620,7,0,8,4,5,24
191127621,0,6,5,6,0,17
191127622,4,6,8,4,1,23
191127623,5,6,9,3,6,29
191127624,4,7,3,0,1,15
191127625,3,3,3,0,5,14
191127626,5,9,4,5,4,27
191127627,8,8,3,2,9,30
191127628,1,8,8,8,8,33
191127629,6,1,3,7,4,21
191127630,1,0,3,9,9,22
191127631,0,0,3,3,4,10
191127632,4,4,0,4,7,19
191127633,3,5,0,3,1,12
191127634,2,4,9,1,4,20
191127635,6,1,2,5,3,17
191127636,7,7,2,6,9,31
191127637,6,0,6,8,2,22
191127638,9,7,8,2,7,33
191127639,9,3,7,9,9,37
191127640,5,7,8,7,9,36
191127641,4,1,5,7,0,17
191127642,7,9,8,8,4,36
191127643,6,4,0,9,7,26
191127644,0,9,2,7,3,21
191127645,2,3,5,6,3,19
191127646,8,1,3,5,6,23
191127647,3,5,9,2,4,23
191127648,9,3,5,9,1,27
191127649,3,6,2,0,7,18
191127650,4,2,4,1,6,17
191127651,6,0,9,7,0,22
191127652,9,8,1,9,3,30
191127653,0,0,5,8,2,15
191127654,5,6,9,3,5,28
191127655,1,9,0,6,8,24
191127656,7,3,5,5,3,23
191127657,9,2,9,2,1,23
191127658,5,5,8,2,4,24
191127659,3,6,6,1,4,20
191127660,6,3,9,2,4,24
191127661,5,6,2,0,3,16
191127662,6,5,9,5,0,25
191127663,0,4,6,3,7,20
191127664,6,3,0,2,5,16
191127665,0,9,2,2,2,15
191127666,0,3,3,2,4,12
191127667,7,8,1,9,1,26
191127668,5,0,8,6,2,21
191127669,6,5,4,0,5,20
191127670,1,1,8,1,1,12
191127671,7,3,8,3,4,25
191127672,4,5,7,2,1,19
191127673,7,5,2,6,6,26
191127674,5,9,7,7,3,31
191127675,2,6,6,6,8,28
191127676,8,8,7,9,1,33
191127677,9,3,0,0,7,19
191127678,4,4,7,5,9,29
191127679,9,2,4,5,6,26
191127680,8,5,2,7,4,26
191127681,6,0,6,4,6,22
191127682,4,9,9,8,9,39
191127683,1,0,1,4,3,9
191127684,8,8,6,4,9,35
191127685,4,8,7,6,5,30
191127686,1,8,6,3,5,23
191127687,0,2,2,2,7,13
191127688,3,5,1,7,0,16
191127689,1,2,0,3,9,15
191127690,6,0,4,6,6,22
191127691,6,5,1,5,1,18
191127692,0,0,1,2,4,7
191127693,3,0,5,3,0,11
191127694,1,3,2,5,9,20
191127695,0,3,5,9,4,21
191127696,5,3,4,8,6,26
191127697,6,1,9,9,8,33
191127698,9,6,2,6,1,24
191127699,1,8,5,2,0,16
191127700,0,1,8,1,0,10
191127701,7,4,9,4,9,33
191127702,1,2,1,8,8,20
191127703,7,8,7,9,3,34
191127704,9,3,6,8,9,35
191127705,3,9,9,8,9,38
191127706,5,8,4,8,9,34
191127707,0,1,0,2,1,4
191127708,1,9,3,2,3,18
191127709,6,7,1,7,7,28
191127710,4,1,6,4,2,17
191127711,7,7,9,8,7,38
191127712,2,2,1,0,5,10
191127713,3,3,5,1,4,16
191127714,9,9,4,0,5,27
191127715,9,2,6,5,6,28
191127716,4,2,4,3,0,13
191127717,0,2,2,8,2,14
191127718,0,8,7,8,5,28
191127719,5,1,4,5,3,18
191127720,3,0,5,4,1,13
191127721,2,6,3,2,4,17
191127722,9,1,5,0,9,24
191127723,9,5,5,2,5,26
191127724,2,0,6,4,0,12
191127725,6,4,3,7,2,22
191127726,5,7,2,8,4,26
191127727,4,7,9,5,9,34
191127728,7,5,0,0,8,20
191127729,5,0,4,2,1,12
191127730,5,3,7,7,1,23
191127731,4,0,5,3,2,14
191127732,0,1,8,2,2,13
191127733,6,9,3,6,3,27
191127734,3,6,8,3,7,27
191127735,0,3,7,0,1,11
191127736,7,1,7,4,4,23
191127737,4,0,8,2,0,14
191127738,8,5,9,3,0,25
191127739,5,4,2,0,5,16
191127740,8,3,2,0,2,15
191127741,3,3,2,2,1,11
191127742,8,6,0,2,6,22
191127743,6,2,8,1,0,17
191127744,5,9,3,4,7,28
191127745,4,2,0,5,0,11
191127746,9,1,8,2,0,20
191127747,0,6,0,9,9,24
191127748,7,9,4,2,1,23
191127749,2,1,6,7,6,22
191127750,4,0,9,8,6,27
191127751,3,3,9,2,2,19
191127752,7,0,1,1,7,16
191127753,7,7,5,4,4,27
191127754,3,8,4,3,6,24
191127755,6,8,3,4,4,25
191127756,0,5,2,2,2,11
191127757,2,7,3,6,6,24
191127758,9,9,9,0,2,29
191127759,0,8,7,5,1,21
191127760,2,3,7,3,0,15
191127761,2,8,7,9,9,35
191127762,2,7,6,2,0,17
191127763,4,9,5,6,4,28
191127764,0,5,0,0,4,9
191127765,7,5,3,5,7,27
191127766,3,6,0,0,3,12
191127767,3,2,7,1,8,21
191127768,5,0,2,1,1,9
191127769,5,1,3,6,3,18
191127770,4,7,6,7,7,31
191127771,5,3,3,1,2,14
191127772,2,2,0,7,4,15
191127773,8,3,3,1,0,15
191127774,4,1,7,9,8,29
191127775,4,5,0,4,3,16
191127776,3,6,3,1,0,13
191127777,1,5,9,8,8,31
191127778,6,1,5,3,2,17
191127779,4,8,9,3,0,24
191127780,3,1,1,2,3,10
191127781,2,4,5,1,2,14
191127782,5,7,2,4,6,24
191127783,9,4,9,4,2,28
191127784,1,5,8,2,4,20
191127785,0,3,7,7,6,23
191127786,2,0,5,5,1,13
191127787,0,3,4,5,5,17
191127788,7,5,6,2,1,21
191127789,2,7,6,4,5,24
191127790,7,1,8,1,3,20
191127791,7,2,0,2,3,14
191127792,8,0,2,5,2,17
191127793,2,7,1,5,6,21
191127794,2,9,3,7,2,23
191127795,9,0,8,8,2,27
191127796,5,1,9,4,3,22
191127797,0,5,2,9,8,24
191127798,0,9,5,5,9,28
191127799,1,1,7,3,5,17
191127800,9,2,6,4,2,23
191127801,8,4,5,7,7,31
191127802,9,7,7,1,6,30
191127803,0,1,4,2,6,13
191127804,1,7,0,2,5,15
191127805,6,4,8,3,0,21
191127806,4,7,3,4,9,27
191127807,3,8,5,6,9,31
191127808,6,1,0,0,5,12
191127809,1,3,4,8,2,18
191127810,6,4,4,4,0,18
191127811,5,3,0,5,4,17
191127812,0,5,5,8,4,22
191127813,5,5,2,0,4,16
191127814,1,4,2,4,8,19
191127815,3,9,0,0,8,20
191127816,6,6,2,2,1,17
191127817,1,4,7,0,7,19
191127818,2,8,3,7,1,21
191127819,3,0,1,1,7,12
191127820,5,6,5,2,7,25
191127821,1,2,7,7,9,26
191127822,7,9,0,1,7,24
191127823,5,9,4,8,1,27
191127824,0,7,3,6,3,19
191127825,8,5,2,9,6,30
191127826,1,2,5,5,1,14
191127827,4,3,8,4,2,21
191127828,7,6,1,6,3,23
191127829,7,6,7,5,1,26
191127830,3,9,3,7,9,31
191127831,9,7,7,4,7,34
191127832,1,5,8,5,8,27
191127833,2,3,4,7,2,18
191127834,9,2,2,6,3,22
191127835,5,1,7,3,1,17
191127836,2,9,8,0,3,22
191127837,6,8,1,0,3,18
191127838,1,7,3,8,9,28
191127839,8,2,0,4,4,18
191127840,8,0,1,0,7,16
191127841,4,3,9,6,9,31
191127842,8,8,5,6,4,31
191127843,2,6,3,1,2,14
191127844,6,3,7,9,1,26
191127845,0,3,6,5,6,20
191127846,5,6,0,7,4,22
191127847,9,7,7,3,3,29
191127848,5,8,1,0,2,16
191127849,7,7,1,0,8,23
191127850,5,4,4,9,9,31
191127851,3,0,7,8,3,21
191127852,9,4,9,3,0,25
191127853,9,1,5,7,1,23
191127854,3,7,7,1,5,23
191127855,3,0,3,0,5,11
191127856,7,0,8,5,9,29
191127857,3,0,5,2,6,16
191127858,3,6,0,8,7,24
191127859,5,1,7,6,0,19
191127860,7,3,6,6,2,24
191127861,9,3,4,7,8,31
191127862,5,1,4,0,3,13
191127863,8,2,7,4,3,24
191127864,9,1,2,0,8,20
191127865,2,6,8,8,9,33
191127866,2,3,4,6,7,22
191127867,9,2,2,8,7,28
191127868,5,6,0,6,4,21
191127869,7,6,9,0,9,31
191127870,2,3,9,0,2,16
191127871,4,1,7,0,7,19
191127872,8,4,4,2,8,26
191127873,3,1,5,3,0,12
